{'opt_vel': '3.695535555', 'objective_value': '589.4302431', 'jump_d': '0.003589644', 'jump_c': '4.224851021', 'jump_b': '4.993094478', 'jump_a': '3.304704714'}
{'opt_vel': '5.581260203', 'objective_value': '602.6336663', 'jump_d': '0.122576201', 'jump_c': '1.123148568', 'jump_b': '0.094537317', 'jump_a': '-4.774926904'}
{'opt_vel': '4.564869184', 'objective_value': '771.1411748', 'jump_d': '0.156939375', 'jump_c': '4.124981677', 'jump_b': '2.731280748', 'jump_a': '-3.184326164'}
{'opt_vel': '5.142277908', 'objective_value': '878.2329973', 'jump_d': '3.056949625', 'jump_c': '2.985516835', 'jump_b': '-2.59655135', 'jump_a': '0.928539493'}
{'opt_vel': '5.420011108', 'objective_value': '1025.355549', 'jump_d': '1.327959068', 'jump_c': '3.391544232', 'jump_b': '4.485888389', 'jump_a': '-3.39332383'}
{'opt_vel': '2.637044603', 'objective_value': '1817.376669', 'jump_d': '3.225441691', 'jump_c': '-0.242980023', 'jump_b': '0.482833984', 'jump_a': '-4.952930369'}
{'opt_vel': '5.025087533', 'objective_value': '1958.979417', 'jump_d': '3.001532706', 'jump_c': '-0.205116518', 'jump_b': '-2.43534789', 'jump_a': '3.407456085'}
{'opt_vel': '4.41005584', 'objective_value': '2002.320879', 'jump_d': '0.766262009', 'jump_c': '-0.869565895', 'jump_b': '-0.742860002', 'jump_a': '-1.882805075'}
{'opt_vel': '2.31443979', 'objective_value': '2087.99366', 'jump_d': '2.341938524', 'jump_c': '-0.92972115', 'jump_b': '-0.436753766', 'jump_a': '-3.976614219'}
{'opt_vel': '2.904295972', 'objective_value': '2178.091669', 'jump_d': '1.98609612', 'jump_c': '-1.191258358', 'jump_b': '-4.421890983', 'jump_a': '3.571922037'}
{'opt_vel': '3.088950744', 'objective_value': '2326.123134', 'jump_d': '1.855494604', 'jump_c': '0.147117499', 'jump_b': '-0.313739682', 'jump_a': '-0.190697449'}
{'opt_vel': '5.217973177', 'objective_value': '2477.006523', 'jump_d': '2.525381992', 'jump_c': '1.360451642', 'jump_b': '-4.774697758', 'jump_a': '-3.161039404'}
{'opt_vel': '3.023380484', 'objective_value': '2514.973657', 'jump_d': '1.587342608', 'jump_c': '-1.338752823', 'jump_b': '-0.720551111', 'jump_a': '-2.864906665'}
{'opt_vel': '5.665597215', 'objective_value': '2712.774215', 'jump_d': '0.084507121', 'jump_c': '-1.623761117', 'jump_b': '-1.743576823', 'jump_a': '1.607172937'}
{'opt_vel': '5.702900829', 'objective_value': '4641.163261', 'jump_d': '3.148320655', 'jump_c': '-2.791083135', 'jump_b': '3.802890465', 'jump_a': '1.79396278'}
{'opt_vel': '5.283152536', 'objective_value': '5792.211997', 'jump_d': '1.560284887', 'jump_c': '-3.323613831', 'jump_b': '-4.590709114', 'jump_a': '2.020323551'}
{'opt_vel': '3.840843054', 'objective_value': '9299.41974', 'jump_d': '1.807679701', 'jump_c': '-4.288249704', 'jump_b': '1.268251169', 'jump_a': '-3.084744642'}
{'opt_vel': '5.17733473', 'objective_value': '10197.96823', 'jump_d': '1.704871799', 'jump_c': '-4.583941644', 'jump_b': '2.625823903', 'jump_a': '-0.305122723'}
{'opt_vel': '4.321100098', 'objective_value': '10485.89642', 'jump_d': '0.766190521', 'jump_c': '-4.637061741', 'jump_b': '0.198353828', 'jump_a': '-0.257395158'}
