{'opt_vel': 2.4341007574959588, 'objective_value': 10.9068976337, 'jump_d': 3.406124917209566, 'jump_c': 3.0482766793789864, 'jump_b': -4.685607386463603, 'jump_a': 0.31403372165573185}
{'opt_vel': 2.348054843378085, 'objective_value': 50.2065860383, 'jump_d': 2.6973214953574693, 'jump_c': 3.3931152329558003, 'jump_b': -3.8720082428985925, 'jump_a': 0.5476686248643787}
{'opt_vel': 2.8453101662411617, 'objective_value': 142.881136222, 'jump_d': 3.021633427335034, 'jump_c': 3.5535204576054156, 'jump_b': -2.8650355045310025, 'jump_a': 0.9546085942488522}
{'opt_vel': 2.445952732936544, 'objective_value': 12.5227352739, 'jump_d': 3.340561414314088, 'jump_c': 3.1764425837661427, 'jump_b': -4.568821611582541, 'jump_a': 0.07458238639392256}
{'opt_vel': 2.3011845832422106, 'objective_value': 61.886670551, 'jump_d': 2.49088835468867, 'jump_c': 3.1427121969688923, 'jump_b': -3.6900263954209187, 'jump_a': -0.05039912338108277}
{'opt_vel': 2.5920776468282596, 'objective_value': 46.6933392389, 'jump_d': 2.530035479433303, 'jump_c': 3.27279905077868, 'jump_b': -3.43331852924855, 'jump_a': 0.604601011652198}
{'opt_vel': 2.6229694519941678, 'objective_value': 60.7268394908, 'jump_d': 3.01321723017094, 'jump_c': 2.9241387142111073, 'jump_b': -4.3043362534689065, 'jump_a': 0.6931364060234024}
{'opt_vel': 2.2266069587499264, 'objective_value': 71.8092911649, 'jump_d': 2.758716735707374, 'jump_c': 2.9172242832093698, 'jump_b': -4.4866221005234985, 'jump_a': 0.37303738839746536}
{'opt_vel': 2.5348319970977142, 'objective_value': 24.9826349775, 'jump_d': 3.1647311826658955, 'jump_c': 3.4017917043097547, 'jump_b': -3.414309343448182, 'jump_a': 0.5556172821026015}
{'opt_vel': 2.3311831129969054, 'objective_value': 97.0346179983, 'jump_d': 3.034430486304399, 'jump_c': 3.860444216225771, 'jump_b': -2.9691549566002573, 'jump_a': 0.6711016479431855}
{'opt_vel': 2.45362153488051, 'objective_value': 16.7795326245, 'jump_d': 2.8727800656756624, 'jump_c': 2.800867712430475, 'jump_b': -4.194094508941496, 'jump_a': 0.48528812133829646}
{'opt_vel': 2.4167334557449847, 'objective_value': 27.9872505854, 'jump_d': 2.442103412508344, 'jump_c': 3.27860432561671, 'jump_b': -3.8918848145219673, 'jump_a': 0.2764281419623513}
{'opt_vel': 2.3596011042306766, 'objective_value': 37.6647172879, 'jump_d': 2.4424838491261394, 'jump_c': 3.118911199238118, 'jump_b': -4.027877899331742, 'jump_a': -0.06249183219539667}
{'opt_vel': 2.4133544171873718, 'objective_value': 34.1474348919, 'jump_d': 3.2483407738850847, 'jump_c': 3.6476845619784655, 'jump_b': -3.5403485255814946, 'jump_a': 0.4979630781738509}
{'opt_vel': 2.427454199167727, 'objective_value': 17.3913521871, 'jump_d': 2.875166613435977, 'jump_c': 2.9619228861129656, 'jump_b': -4.653059213760214, 'jump_a': 0.2742006389578142}
{'opt_vel': 2.3791797194740205, 'objective_value': 37.6075262636, 'jump_d': 2.3695418557833583, 'jump_c': 3.0567419379683063, 'jump_b': -4.074465228097615, 'jump_a': 0.05174531774708502}
{'opt_vel': 2.3632723762518255, 'objective_value': 32.3861768451, 'jump_d': 2.912864850200845, 'jump_c': 2.682984168507118, 'jump_b': -4.895040655157558, 'jump_a': -0.04017431172589525}
{'opt_vel': 2.548710481444884, 'objective_value': 25.1005315846, 'jump_d': 3.2045375732083445, 'jump_c': 3.4004967023149497, 'jump_b': -3.5699533944757733, 'jump_a': 0.680038989606075}
{'opt_vel': 2.5263317267059104, 'objective_value': 30.5493744429, 'jump_d': 3.463094672517567, 'jump_c': 3.2793097902284476, 'jump_b': -3.3193924998310242, 'jump_a': 0.7230129960898912}
{'opt_vel': 2.561154022495785, 'objective_value': 44.9412777198, 'jump_d': 2.946714331606889, 'jump_c': 3.481139215479251, 'jump_b': -3.3199139274440457, 'jump_a': 0.25029574059971527}
{'opt_vel': 2.3862222618734896, 'objective_value': 17.400955501, 'jump_d': 3.3170256248531875, 'jump_c': 2.76557677767342, 'jump_b': -4.754901760304804, 'jump_a': 0.26469121501700243}
{'opt_vel': 2.3600022582015963, 'objective_value': 51.944575723, 'jump_d': 3.0992909069269188, 'jump_c': 3.656659836371979, 'jump_b': -4.041870707522542, 'jump_a': 0.2585100785181389}
{'opt_vel': 2.3292414025153843, 'objective_value': 50.2433693252, 'jump_d': 3.4528775165960606, 'jump_c': 3.201116452362456, 'jump_b': -4.9955585394534205, 'jump_a': -0.06486976962710589}
{'opt_vel': 2.429353802031786, 'objective_value': 21.6246355425, 'jump_d': 2.9947387849513722, 'jump_c': 3.4397649330584468, 'jump_b': -3.4001572531564217, 'jump_a': 0.562774193843369}
{'opt_vel': 2.458242178310357, 'objective_value': 10.969862828, 'jump_d': 3.4533539637775137, 'jump_c': 3.095761034240411, 'jump_b': -4.7158785219995645, 'jump_a': 0.33033237126736115}
{'opt_vel': 2.4510971061471922, 'objective_value': 9.95308138004, 'jump_d': 2.5745559244854648, 'jump_c': 3.3526312914223073, 'jump_b': -3.6767745778012206, 'jump_a': 0.31170989649604763}
